ticker,name,market,cap,cap_label,cur,rs_2w,rs_6w,accel,ret_2w,vr,pct52,high52_date,above200,theme,pop_rank
125490,한라캐스트,KOSDAQ,651566983200.0,MidCap,10830.0,49.98,-9.31,59.29,48.56,2.25,-54.9,26.01.30,False,지능형로봇/인공지능(AI),
108490,로보티즈,KOSDAQ,4814833698000.0,LargeCap,261000.0,43.43,-12.89,56.32,42.0,1.5,-35.6,26.06.02,False,지능형로봇/인공지능(AI),
090360,로보스타,KOSDAQ,687375000000.0,MidCap,86000.0,41.49,-14.85,56.34,40.07,1.66,-45.8,26.06.02,False,지능형로봇/인공지능(AI),
012450,한화에어로스페이스,KOSPI,73220029420000.0,MegaCap,1185000.0,30.65,3.07,27.58,29.23,0.93,-22.9,26.04.07,False,지능형로봇/인공지능(AI),
066570,LG전자,KOSPI,22119971354600.0,MegaCap,206500.0,28.81,-3.11,31.92,27.39,0.81,-47.4,26.06.02,False,지능형로봇/인공지능(AI),6.0
347700,스피어,KOSDAQ,2033623468800.0,LargeCap,25950.0,69.93,-17.33,87.26,68.51,1.31,-51.1,26.03.12,False,의료AI,
127120,제이에스링크,KOSDAQ,1420980344100.0,LargeCap,41500.0,44.77,8.19,36.58,43.35,1.4,-15.1,26.04.15,False,의료AI,
328130,루닛,KOSDAQ,1206521482400.0,LargeCap,10520.0,15.15,-6.09,21.24,13.73,1.08,-78.6,26.01.29,False,의료AI,
376900,로킷헬스케어,KOSDAQ,1282707228500.0,LargeCap,33700.0,6.25,-3.08,9.33,4.82,0.65,-77.2,26.04.01,False,의료AI,
458870,씨어스,KOSDAQ,1864927260000.0,LargeCap,24200.0,3.32,-1.65,4.97,1.89,1.74,-87.2,26.03.19,False,의료AI,
295310,에이치브이엠,KOSDAQ,1078848002700.0,LargeCap,53500.0,54.28,-26.69,80.97,52.86,1.32,-59.8,26.05.26,False,OLED(유기 발광 다이오드),
114810,한솔아이원스,KOSDAQ,502382067180.0,MidCap,12040.0,42.41,-15.56,57.97,40.98,1.28,-38.8,26.04.23,False,OLED(유기 발광 다이오드),
090360,로보스타,KOSDAQ,687375000000.0,MidCap,86000.0,41.49,-14.85,56.34,40.07,1.66,-45.8,26.06.02,False,OLED(유기 발광 다이오드),
131290,티에스이,KOSDAQ,1867169215200.0,LargeCap,259000.0,40.22,0.88,39.34,38.8,0.84,-9.0,26.07.15,False,OLED(유기 발광 다이오드),
122640,예스티,KOSDAQ,614874844800.0,MidCap,29100.0,36.77,-20.1,56.87,35.35,0.43,-27.0,26.06.18,False,OLED(유기 발광 다이오드),
024850,HLB이노베이션,KOSDAQ,727107843000.0,MidCap,13060.0,58.77,-13.91,72.68,57.35,0.57,-50.3,26.05.04,False,반도체 재료/부품,
295310,에이치브이엠,KOSDAQ,1078848002700.0,LargeCap,53500.0,54.28,-26.69,80.97,52.86,1.32,-59.8,26.05.26,False,반도체 재료/부품,
036810,에프에스티,KOSDAQ,935270884800.0,MidCap,27150.0,48.9,-15.33,64.23,47.47,1.23,-45.2,26.01.28,False,반도체 재료/부품,
252990,샘씨엔에스,KOSDAQ,843050446000.0,MidCap,15480.0,42.41,3.32,39.09,40.98,0.86,-5.1,26.06.12,False,반도체 재료/부품,
114810,한솔아이원스,KOSDAQ,502382067180.0,MidCap,12040.0,42.41,-15.56,57.97,40.98,1.28,-38.8,26.04.23,False,반도체 재료/부품,
347700,스피어,KOSDAQ,2033623468800.0,LargeCap,25950.0,69.93,-17.33,87.26,68.51,1.31,-51.1,26.03.12,False,우주항공산업(누리호/인공위성 등),
488900,비츠로넥스텍,KOSDAQ,563302051920.0,MidCap,11670.0,60.2,-3.38,63.58,58.78,3.3,-61.0,26.01.30,False,우주항공산업(누리호/인공위성 등),
295310,에이치브이엠,KOSDAQ,1078848002700.0,LargeCap,53500.0,54.28,-26.69,80.97,52.86,1.32,-59.8,26.05.26,False,우주항공산업(누리호/인공위성 등),
354320,알멕,KOSDAQ,648086033400.0,MidCap,33650.0,44.62,-28.42,73.04,43.19,0.94,-66.8,26.04.29,False,우주항공산업(누리호/인공위성 등),
189300,인텔리안테크,KOSDAQ,1473184588400.0,LargeCap,77600.0,34.76,-13.43,48.19,33.33,1.11,-55.0,26.05.11,False,우주항공산업(누리호/인공위성 등),
354320,알멕,KOSDAQ,648086033400.0,MidCap,33650.0,44.62,-28.42,73.04,43.19,0.94,-66.8,26.04.29,False,리비안(RIVIAN),
002710,TCC스틸,KOSPI,559662430950.0,MidCap,10310.0,26.24,-9.02,35.26,24.82,0.84,-54.4,26.04.28,False,리비안(RIVIAN),
204320,HL만도,KOSPI,2718817248000.0,LargeCap,55500.0,25.59,-9.08,34.67,24.16,0.7,-27.8,26.06.16,False,리비안(RIVIAN),
006400,삼성SDI,KOSPI,57376897360000.0,MegaCap,487000.0,24.09,2.0,22.09,22.67,0.82,-31.6,26.04.29,False,리비안(RIVIAN),10.0
