date,ticker,name,label,r5,r10,lgbm_score,fold,score_bin
2017-01-17,028100,Dong-Ah Geological Engineering Co. Ltd.,0,-3.54,-5.66,0.3474,1,0.3~0.4
2017-01-18,011370,SEOHAN Const. & Eng.co.Ltd,0,-7.49,-0.66,0.0381,1,~0.2
2017-01-18,005710,Daewon Sanup Co. Ltd,0,-2.49,-7.47,0.162,1,~0.2
2017-01-19,005800,Shinyoung Waco,0,2.75,-4.41,0.0844,1,~0.2
2017-01-24,33240,Jahwa Electronics Co. Ltd.,1,9.28,10.14,0.3557,1,0.3~0.4
2017-01-26,64480,BRIDGETEC Corp,0,-1.69,0.56,0.3279,1,0.3~0.4
2017-02-03,005800,Shinyoung Waco,0,-4.9,-1.91,0.0923,1,~0.2
2017-02-06,34020,Doosan Heavy Ind. & Const.,0,5.01,-4.84,0.1003,1,~0.2
2017-02-06,014710,Sajo Seafood,0,-4.65,-2.97,0.1314,1,~0.2
2017-02-07,014710,Sajo Seafood,0,-6.06,-4.39,0.1424,1,~0.2
2017-02-07,004020,Hyundai Steel Co.,0,3.98,6.97,0.0713,1,~0.2
2017-02-08,64480,BRIDGETEC Corp,1,1.12,8.23,0.1273,1,~0.2
2017-02-09,64480,BRIDGETEC Corp,0,1.54,5.04,0.2712,1,0.2~0.3
2017-02-09,004020,Hyundai Steel Co.,0,3.26,4.4,0.0887,1,~0.2
2017-02-09,33500,Dongsung FineTec Co. Ltd,0,7.95,5.01,0.0837,1,~0.2
2017-02-09,34020,Doosan Heavy Ind. & Const.,0,-2.04,-8.66,0.0715,1,~0.2
2017-02-09,101330,Mobase Co Ltd,0,7.35,2.94,0.1497,1,~0.2
2017-02-09,006650,Korea Petrochemical Industrial Co. Ltd.,0,-2.44,-2.27,0.1377,1,~0.2
2017-02-10,004020,Hyundai Steel Co.,0,2.75,0.49,0.1296,1,~0.2
2017-02-10,101330,Mobase Co Ltd,0,11.39,-22.57,0.1105,1,~0.2
2017-02-10,64480,BRIDGETEC Corp,0,0.84,1.95,0.086,1,~0.2
2017-02-13,64480,BRIDGETEC Corp,0,4.35,1.96,0.1414,1,~0.2
2017-02-14,101330,Mobase Co Ltd,0,10.84,-25.62,0.1628,1,~0.2
2017-02-16,73110,LMS Co. Ltd,0,3.17,-2.86,0.1285,1,~0.2
2017-02-17,73110,LMS Co. Ltd,0,0.74,-0.32,0.1457,1,~0.2
2017-02-20,33240,Jahwa Electronics Co. Ltd.,0,-8.55,-8.81,0.0791,1,~0.2
2017-02-27,002600,Choheung,1,11.49,33.1,0.1023,1,~0.2
2017-03-02,028050,Samsung Engineering Co. Ltd.,0,-1.58,2.77,0.1929,1,~0.2
2017-03-02,54930,Yooshin Engineering Corporation,0,2.27,2.6,0.1922,1,~0.2
2017-03-06,59090,MiCo Ltd,0,2.66,3.69,0.0324,1,~0.2
2017-03-07,54930,Yooshin Engineering Corporation,0,-0.32,4.22,0.1978,1,~0.2
2017-03-09,54930,Yooshin Engineering Corporation,0,0.32,1.59,0.146,1,~0.2
2017-03-10,38540,Sangsangin Co. Ltd,0,0.86,-2.34,0.096,1,~0.2
2017-03-13,45060,Okong Corporation,0,0.89,-4.1,0.0629,1,~0.2
2017-03-14,45060,Okong Corporation,0,-1.6,-1.06,0.1364,1,~0.2
2017-03-14,54930,Yooshin Engineering Corporation,0,4.56,-8.79,0.233,1,0.2~0.3
2017-03-16,45060,Okong Corporation,0,-4.06,-4.06,0.0724,1,~0.2
2017-03-17,64480,BRIDGETEC Corp,0,-4.49,-1.15,0.1003,1,~0.2
2017-03-17,80160,Modetour Network Inc,1,7.83,12.03,0.0776,1,~0.2
2017-03-20,64480,BRIDGETEC Corp,0,-5.22,-1.27,0.0798,1,~0.2
2017-03-20,80160,Modetour Network Inc,1,6.61,9.77,0.0735,1,~0.2
