ticker,name,market,exchange,sector,industry,market_cap,cap
004690,Samchully Co. Ltd.,KOSDAQ,KQ,Utilities,Utilities - Regulated Gas,475939471360.0,MidCap
004700,Cho Kwang Leat,KOSPI,KO,Consumer Cyclical,Auto Parts,232361164800.0,MidCap
004710,Hansol Technics Co. Ltd.,KOSDAQ,KQ,Technology,Electronic Components,143892217856.0,SmallCap
004720,PharmGen Science Inc,KOSPI,KO,Healthcare,Drug Manufacturers - General,80309649408.0,SmallCap
004770,Sunny Electronics Corp.,KOSDAQ,KQ,Technology,Electronic Components,57131470848.0,SmallCap
004800,Hyosung Corp,KOSPI,KO,Industrials,Conglomerates,2148212146176.0,LargeCap
004830,Duksung Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Textile Manufacturing,67269406720.0,SmallCap
004835,Ducksung Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Consumer Cyclical,Textile Manufacturing,91025457152.0,SmallCap
004840,DRB Holding Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Auto Parts,98867224576.0,SmallCap
004890,Dongil Industries Co. Ltd.,KOSDAQ,KQ,Basic Materials,Steel,82448752640.0,SmallCap
004920,CItech Co Ltd,KOSPI,KO,Technology,Information Technology Services,51367501824.0,SmallCap
004960,Hanshin Construction Co. Ltd.,KOSDAQ,KQ,Industrials,Engineering & Construction,174833303552.0,SmallCap
004970,Silla Co.Ltd,KOSPI,KO,Consumer Defensive,Packaged Foods,146011242496.0,SmallCap
004980,SungShin Cement Co. Ltd.,KOSDAQ,KQ,Basic Materials,Building Materials,223182520320.0,MidCap
004985,SungShin Cement Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Basic Materials,Building Materials,261926813696.0,MidCap
004990,Lotte Confectionery Co. Ltd.,KOSDAQ,KQ,Consumer Defensive,Confectioners,1952811974656.0,LargeCap
00499K,LOTTE Corporation,KOSPI,KO,Consumer Defensive,Confectioners,2263693131776.0,LargeCap
005010,Husteel Co. Ltd.,KOSDAQ,KQ,Basic Materials,Steel,294425526272.0,MidCap
005070,Cosmoam&T,KOSPI,KO,Basic Materials,Specialty Chemicals,1713265049600.0,LargeCap
005090,Samkwang Glass Co. Ltd.,KOSDAQ,KQ,Industrials,Engineering & Construction,829857136640.0,MidCap
005180,Binggrae,KOSPI,KO,Consumer Defensive,Packaged Foods,623346974720.0,MidCap
005250,Green Cross Holdings Corp.,KOSDAQ,KQ,Healthcare,Biotechnology,604480667648.0,MidCap
005257,Green Cross Holdings Corp. Pfd. Series 2,KOSDAQ,KQ,Healthcare,Biotechnology,1023210291200.0,LargeCap
005300,Lotte Chilsung Beverage Co. Ltd.,KOSDAQ,KQ,Consumer Defensive,Beverages - Non-Alcoholic,1146178109440.0,LargeCap
005305,Lotte Chilsung Beverage Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Consumer Defensive,Beverages - Non-Alcoholic,1110187180032.0,LargeCap
005380,Hyundai Motor Co. Ltd.,KOSPI,KO,Consumer Cyclical,Auto Manufacturers,115962145669120.0,MegaCap
005385,Hyundai Motor Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Consumer Cyclical,Auto Manufacturers,79776056344576.0,MegaCap
005387,Hyundai Motor Co. Ltd. Pfd. Series 2,KOSDAQ,KQ,Consumer Cyclical,Auto Manufacturers,79498888347648.0,MegaCap
005389,Hyundai Motor Co. Ltd. Pfd. Series 3,KOSDAQ,KQ,Consumer Cyclical,Auto Manufacturers,79151658696704.0,MegaCap
005420,Cosmo Chem,KOSPI,KO,Basic Materials,Specialty Chemicals,570478034944.0,MidCap
